
---------- Begin Simulation Statistics ----------
sim_seconds                                  3.443343                       # Number of seconds simulated
system.mem_ctrls.num_reads::realview.hdlcd     27528310                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total            27543545                       # Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks          1402                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::cpu.data            2176                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total               3578                       # Number of write requests responded to by this memory
system.mem_ctrls.bw_read::cpu.dtb.walker         2788                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu.itb.walker          781                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu.inst             250473                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu.data             312292                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::realview.hdlcd    511657320                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total             512223653                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::cpu.inst        250473                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::total           250473                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::writebacks           52117                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::cpu.data              2528                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::total                54645                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_total::writebacks           52117                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu.dtb.walker         2788                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu.itb.walker          781                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu.inst            250473                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::cpu.data            314820                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::realview.hdlcd    511657320                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::total            512278298                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.readReqs                    27543545                       # Number of read requests accepted
system.mem_ctrls.writeReqs                       3578                       # Number of write requests accepted
system.mem_ctrls.readBursts                  27558780                       # Number of DRAM read bursts, including those serviced by the write queue
system.mem_ctrls.writeBursts                     4980                       # Number of DRAM write bursts, including those merged in the write queue
system.mem_ctrls.bytesReadDRAM             1763755776                       # Total number of bytes read from DRAM
system.mem_ctrls.bytesReadWrQ                    6144                       # Total number of bytes read from write queue
system.mem_ctrls.bytesWritten                  185024                       # Total number of bytes written to DRAM
system.mem_ctrls.bytesReadSys              1763761920                       # Total read bytes from the system interface side
system.mem_ctrls.bytesWrittenSys               188160                       # Total written bytes from the system interface side
system.mem_ctrls.servicedByWrQ                     96                       # Number of DRAM read bursts serviced by the write queue
system.mem_ctrls.mergedWrBursts                  2057                       # Number of DRAM write bursts merged with an existing one
system.mem_ctrls.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write
system.mem_ctrls.perBankRdBursts::0           1741460                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::1           1741470                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::2           1741610                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::3           1741918                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::4           1729152                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::5           1714482                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::6           1715759                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::7           1715592                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::8           1715683                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::9           1714856                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::10          1714991                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::11          1714644                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::12          1714250                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::13          1714193                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::14          1714182                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::15          1714442                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::0                41                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::1                81                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::2               287                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::3               300                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::4               387                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::5                32                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::6               346                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::7               286                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::8               396                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::9               230                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::10              270                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::11               38                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::12                5                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::13               71                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::14               70                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::15               51                       # Per bank write bursts
system.mem_ctrls.numRdRetry                         0                       # Number of times read queue was full causing retry
system.mem_ctrls.numWrRetry                         0                       # Number of times write queue was full causing retry
system.mem_ctrls.totGap                  3443343281785                       # Total gap between requests
system.mem_ctrls.readPktSize::0                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::1                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::2                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::3                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::4                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::5                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::6              27558780                       # Read request sizes (log2)
system.mem_ctrls.writePktSize::0                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::1                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::2                 2176                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::3                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::4                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::5                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::6                 2804                       # Write request sizes (log2)
system.mem_ctrls.rdQLenPdf::0                13538452                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::1                13551630                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::2                  205596                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::3                  192605                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::4                   32231                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::5                   32080                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::6                     469                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::7                     423                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::8                    2591                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::9                     463                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::10                    433                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::11                    435                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::12                    425                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::13                    425                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::14                    425                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::15                      1                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::16                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::17                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::18                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::19                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::20                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::21                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::22                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::23                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::24                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::25                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::26                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::27                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::28                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::29                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::30                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::31                      0                       # What read queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::0                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::1                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::2                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::3                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::4                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::5                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::6                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::7                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::8                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::9                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::10                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::11                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::12                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::13                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::14                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::15                     70                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::16                     72                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::17                    157                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::18                    165                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::19                    170                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::20                    171                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::21                    172                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::22                    170                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::23                    176                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::24                    176                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::25                    172                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::26                    172                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::27                    173                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::28                    179                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::29                    174                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::30                    172                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::31                    171                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::32                    170                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::33                     12                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::34                      3                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::35                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::36                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::37                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::38                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::39                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::40                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::41                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::42                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::43                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::44                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::45                      1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::46                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::47                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::48                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::49                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::50                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::51                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::52                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::53                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::54                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::55                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::56                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::57                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::58                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::59                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::60                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::61                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::62                      0                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::63                      0                       # What write queue length does an incoming req see
system.mem_ctrls.bytesPerActivate::samples      2003508                       # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::mean    880.425685                       # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::gmean   808.080095                       # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::stdev   261.112911                       # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::0-127          161      0.01%      0.01% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::128-255        77538      3.87%      3.88% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::256-383        67385      3.36%      7.24% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::384-511        75569      3.77%     11.01% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::512-639        73712      3.68%     14.69% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::640-767       125525      6.27%     20.96% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::768-895        88095      4.40%     25.35% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::896-1023        73592      3.67%     29.03% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::1024-1151      1421931     70.97%    100.00% # Bytes accessed per row activation
system.mem_ctrls.bytesPerActivate::total      2003508                       # Bytes accessed per row activation
system.mem_ctrls.rdPerTurnAround::samples          170                       # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::mean   152890.741176                       # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::gmean    198.051188                       # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::stdev  907755.625813                       # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::0-524287          160     94.12%     94.12% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::524288-1.04858e+06            2      1.18%     95.29% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::1.04858e+06-1.57286e+06            2      1.18%     96.47% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::1.57286e+06-2.09715e+06            2      1.18%     97.65% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::2.09715e+06-2.62144e+06            1      0.59%     98.24% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::2.62144e+06-3.14573e+06            2      1.18%     99.41% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::1.04858e+07-1.101e+07            1      0.59%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls.rdPerTurnAround::total           170                       # Reads before turning the bus around for writes
system.mem_ctrls.wrPerTurnAround::samples          170                       # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::mean      17.005882                       # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::gmean     16.942713                       # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::stdev      1.629960                       # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::16               96     56.47%     56.47% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::17                4      2.35%     58.82% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::18               63     37.06%     95.88% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::19                3      1.76%     97.65% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::20                2      1.18%     98.82% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::25                1      0.59%     99.41% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::31                1      0.59%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls.wrPerTurnAround::total           170                       # Writes before turning the bus around for reads
system.mem_ctrls.totQLat                 468092614200                       # Total ticks spent queuing
system.mem_ctrls.totMemAccLat            984817939200                       # Total ticks spent from burst creation until serviced by the DRAM
system.mem_ctrls.totBusLat               137793420000                       # Total ticks spent in databus transfers
system.mem_ctrls.avgQLat                     16985.30                       # Average queueing delay per DRAM burst
system.mem_ctrls.avgBusLat                    5000.00                       # Average bus latency per DRAM burst
system.mem_ctrls.avgMemAccLat                35735.30                       # Average memory access latency per DRAM burst
system.mem_ctrls.avgRdBW                       512.22                       # Average DRAM read bandwidth in MiByte/s
system.mem_ctrls.avgWrBW                         0.05                       # Average achieved write bandwidth in MiByte/s
system.mem_ctrls.avgRdBWSys                    512.22                       # Average system read bandwidth in MiByte/s
system.mem_ctrls.avgWrBWSys                      0.05                       # Average system write bandwidth in MiByte/s
system.mem_ctrls.peakBW                      12800.00                       # Theoretical peak bandwidth in MiByte/s
system.mem_ctrls.busUtil                         4.00                       # Data bus utilization in percentage
system.mem_ctrls.busUtilRead                     4.00                       # Data bus utilization in percentage for reads
system.mem_ctrls.busUtilWrite                    0.00                       # Data bus utilization in percentage for writes
system.mem_ctrls.avgRdQLen                       2.06                       # Average read queue length when enqueuing
system.mem_ctrls.avgWrQLen                      22.73                       # Average write queue length when enqueuing
system.mem_ctrls.readRowHits                 25555887                       # Number of row buffer hits during reads
system.mem_ctrls.writeRowHits                    2179                       # Number of row buffer hits during writes
system.mem_ctrls.readRowHitRate                 92.73                       # Row buffer hit rate for reads
system.mem_ctrls.writeRowHitRate                74.55                       # Row buffer hit rate for writes
system.mem_ctrls.avgGap                     124998.29                       # Average gap between requests
system.mem_ctrls.pageHitRate                    92.73                       # Row buffer hit rate, read and write combined
system.mem_ctrls_0.actEnergy               7183225560                       # Energy for activate commands per rank (pJ)
system.mem_ctrls_0.preEnergy               3817974930                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls_0.readEnergy             98827903020                       # Energy for read commands per rank (pJ)
system.mem_ctrls_0.writeEnergy                9187200                       # Energy for write commands per rank (pJ)
system.mem_ctrls_0.refreshEnergy         150302221680.000031                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls_0.actBackEnergy         124636149840                       # Energy for active background per rank (pJ)
system.mem_ctrls_0.preBackEnergy           9568652640                       # Energy for precharge background per rank (pJ)
system.mem_ctrls_0.actPowerDownEnergy    571847381970                       # Energy for active power-down per rank (pJ)
system.mem_ctrls_0.prePowerDownEnergy     91174609440                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls_0.selfRefreshEnergy     405584119410                       # Energy for self refresh per rank (pJ)
system.mem_ctrls_0.totalEnergy           1463035551810                       # Total energy per rank (pJ)
system.mem_ctrls_0.averagePower            424.888080                       # Core power per rank (mW)
system.mem_ctrls_0.totalIdleTime         3144917923569                       # Total Idle time Per DRAM Rank
system.mem_ctrls_0.memoryStateTime::IDLE   9347897762                       # Time in different power states
system.mem_ctrls_0.memoryStateTime::REF   63680438000                       # Time in different power states
system.mem_ctrls_0.memoryStateTime::SREF 1653428571951                       # Time in different power states
system.mem_ctrls_0.memoryStateTime::PRE_PDN 237433554183                       # Time in different power states
system.mem_ctrls_0.memoryStateTime::ACT  225383883486                       # Time in different power states
system.mem_ctrls_0.memoryStateTime::ACT_PDN 1254069024069                       # Time in different power states
system.mem_ctrls_1.actEnergy               7121828700                       # Energy for activate commands per rank (pJ)
system.mem_ctrls_1.preEnergy               3785337930                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls_1.readEnergy             97941100740                       # Energy for read commands per rank (pJ)
system.mem_ctrls_1.writeEnergy                5903820                       # Energy for write commands per rank (pJ)
system.mem_ctrls_1.refreshEnergy         148741650720.000031                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls_1.actBackEnergy         123178617090                       # Energy for active background per rank (pJ)
system.mem_ctrls_1.preBackEnergy           9442515360                       # Energy for precharge background per rank (pJ)
system.mem_ctrls_1.actPowerDownEnergy    567271165470                       # Energy for active power-down per rank (pJ)
system.mem_ctrls_1.prePowerDownEnergy     90507894240                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls_1.selfRefreshEnergy     408915100665                       # Energy for self refresh per rank (pJ)
system.mem_ctrls_1.totalEnergy           1456994983635                       # Total energy per rank (pJ)
system.mem_ctrls_1.averagePower            423.133806                       # Core power per rank (mW)
system.mem_ctrls_1.totalIdleTime         3148427595650                       # Total Idle time Per DRAM Rank
system.mem_ctrls_1.memoryStateTime::IDLE   9151728615                       # Time in different power states
system.mem_ctrls_1.memoryStateTime::REF   63015312000                       # Time in different power states
system.mem_ctrls_1.memoryStateTime::SREF 1668725349493                       # Time in different power states
system.mem_ctrls_1.memoryStateTime::PRE_PDN 235695129241                       # Time in different power states
system.mem_ctrls_1.memoryStateTime::ACT  222748681044                       # Time in different power states
system.mem_ctrls_1.memoryStateTime::ACT_PDN 1244007169058                       # Time in different power states
system.realview.nvmem.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.realview.pci_host.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.Root_Complex.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.bridge.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.cf0.dma_read_full_pages                      0                       # Number of full page size DMA reads (not PRD).
system.cf0.dma_read_bytes                           0                       # Number of bytes transfered via DMA reads (not PRD).
system.cf0.dma_read_txs                             0                       # Number of DMA read transactions (not PRD).
system.cf0.dma_write_full_pages                    17                       # Number of full page size DMA writes.
system.cf0.dma_write_bytes                      84992                       # Number of bytes transfered via DMA writes.
system.cf0.dma_write_txs                           28                       # Number of DMA write transactions.
system.cpu.branchPred.lookups                 5103243                       # Number of BP lookups
system.cpu.branchPred.condPredicted           3147460                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect            168951                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups              3148377                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                 2041897                       # Number of BTB hits
system.cpu.branchPred.BTBCorrect                    0                       # Number of correct BTB predictions (this stat may not work properly.
system.cpu.branchPred.BTBHitPct             64.855543                       # BTB Hit Percentage
system.cpu.branchPred.usedRAS                  798921                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASInCorrect              17006                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups          373539                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits             255358                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses           118181                       # Number of indirect misses.
system.cpu.branchPredindirectMispredicted        12501                       # Number of mispredicted indirect branches.
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts
system.cpu_clk_domain.clock                       313                       # Clock period in ticks
system.cpu.dstage2_mmu.stage2_tlb.walker.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.cpu.dstage2_mmu.stage2_tlb.walker.walks            0                       # Table walker walks requested
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Requested::Data            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Requested::Inst            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Requested::total            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Completed::Data            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Completed::Inst            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin_Completed::total            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.walker.walkRequestOrigin::total            0                       # Table walker requests started/completed, data/inst
system.cpu.dstage2_mmu.stage2_tlb.inst_hits            0                       # ITB inst hits
